itemCode,name,imis_code,uom,quantity,boq_number,belongsto,partNumber,category,location,lastUpdated,,,,,,,,,,,,,,,
AC90-260V 50HZ,SMD Down Light 3-Watt CCT-65000K,011-0007-16-007045,"No,s",50,,O&M,,ILLUMINATION," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
FP3C300-35,SMD Down Light Driver 265V AC 50/60HZ,011-0008-00-008012,"No,s",150,,O&M,,ILLUMINATION," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
24 V AC,LED Lamp For Pits 5-W,011-0007-00-007044,"No,s",160,,O&M,,ILLUMINATION," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
C10-Amp,Breaker 1-Pole (Schneider),011-0004-02-004009,"No,s",20,,O&M,,ILLUMINATION," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
C10-Amp,Breaker 2-Pole (Schneider),011-0004-02-004010,"No,s",20,,O&M,,ILLUMINATION," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
C16-Amp,Breaker 2-Pole (Schneider),011-0004-02-004011,"No,s",20,,O&M,,ILLUMINATION," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
C16-Amp,Breaker 3-Pole (Schneider),011-0004-02-004012,"No,s",20,,O&M,,ILLUMINATION," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
C20-Amp,Breaker 2-Pole (Schneider),011-0004-02-004013,"No,s",20,,O&M,,ILLUMINATION," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
C20-Amp,Breaker 3-Pole (Schneider),011-0004-02-004014,"No,s",20,,O&M,,ILLUMINATION," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
C32-Amp,Breaker 2-Pole (Schneider),011-0004-02-004015,"No,s",20,,O&M,,ILLUMINATION," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
C32-Amp,Breaker 3-Pole (Schneider),011-0004-02-004016,"No,s",20,,O&M,,ILLUMINATION," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
